id_pedido,data,cliente_id,produto,quantidade,valor,total,forma_pagamento,status,tempo_entrega
1,2024-02-05,Rafael,Hambúrguer,2,25.50,51.00,Pix,Entregue,30
2,2024-02-15,Luiz,Suco,1,10.00,10.00,Cartão,Entregue,20
3,2024-03-01,Beatriz,Refrigerante,3,5.00,15.00,Pix,Entregue,15
4,2024-03-12,Rafael,Hambúrguer,1,25.50,25.50,Pix,Entregue,40
5,2024-03-18,Ana,Salada,2,12.00,24.00,Cartão,Entregue,25
6,2024-04-02,Luiz,Refrigerante,2,5.00,10.00,Cartão,Entregue,30
7,2024-04-10,Beatriz,Hambúrguer,3,25.50,76.50,Pix,Entregue,50
8,2024-04-20,Ana,Suco,2,10.00,20.00,Cartão,Entregue,22
9,2024-04-28,Luiz,Salada,1,12.00,12.00,Pix,Entregue,18
10,2024-05-06,Rafael,Hambúrguer,4,41.12,164.48,Pix,Cancelado,0
11,2024-05-03,Luiz,Suco,2,32.31,64.62,Pix,Entregue,46
12,2024-05-02,Luiz,Hambúrguer,3,13.9,41.7,Cartão,Entregue,21
13,2024-05-29,Rafael,Salada,3,8.87,26.61,Pix,Entregue,33
14,2024-05-18,Beatriz,Refrigerante,1,36.87,36.87,Pix,Entregue,31
15,2024-05-11,Luiz,Hambúrguer,3,30.3,90.9,Pix,Entregue,53
16,2024-05-10,Luiz,Refrigerante,3,14.52,43.56,Cartão,Entregue,27
17,2024-05-12,Luiz,Hambúrguer,3,40.68,122.04,Cartão,Entregue,40
